Class,Day,Course,Section,Type,Time
A-Karakoram 3,Wednesday,DB Lab ,CY-D,Lab,02:25-05:10
A-Mehran 2,Wednesday,Func Eng Lab ,AI-A1,Lab,11:25-02:10
A-Mehran 2,Wednesday,Func Eng Lab ,AI-C1,Lab,02:25-05:10
A-CALL-1,Wednesday,Func Eng Lab ,AI-A2,Lab,11:25-02:10
A-CALL-1,Wednesday,Func Eng Lab ,AI-C2,Lab,02:25-05:10
A-CALL-2,Wednesday,Func Eng Lab ,CS-C1,Lab,08:30-11:15
A-CALL-2,Wednesday,Func Eng Lab ,CS-A1,Lab,11:25-02:10
A-CALL-3,Wednesday,Func Eng Lab ,CS-C2,Lab,08:30-11:15
A-CALL-3,Wednesday,Func Eng Lab ,CS-A2,Lab,11:25-02:10
B-Digital,Wednesday,DLD Lab ,AI-A,Lab,08:30-11:15
B-Digital,Wednesday,DLD Lab ,AI-B,Lab,02:25-05:10
